Model_A,Model_B,W,p_value,z,r_effect,p_adj
K-Neighbors (All),Decision Tree (Kruskal - inCV),1.0,3.552713678800501e-15,-7.869777910570139,-1.1129546653992488,3.318234575999668e-12
K-Neighbors (All),Decision Tree (Chi-square - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Decision Tree (KS - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Naive Bayes (MW - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Naive Bayes (Wilcoxon - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Naive Bayes (Kruskal - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Naive Bayes (Chi-square - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Naive Bayes (KS - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Integrated-SelectFromModel (L1-LR selector) + LR,43.0,9.528919070628027e-09,-5.738907596114711,-0.8116040955631401,6.289086586614498e-06
K-Neighbors (All),Integrated-SelectFromModel (L1-LR selector) + SVM,157.0,6.354784893858323e-07,-4.980110894366649,-0.7042940368935319,0.0003698484808225544
K-Neighbors (All),Integrated-SelectFromModel (L1-LR selector) + KNN,581.5,0.5887924497200947,-0.5405867542177021,-0.07645051194539251,1.0
K-Neighbors (All),Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,554.0,0.4262959591146398,0.7955460083624224,0.11250719545179173,1.0
K-Neighbors (All),Integrated-SelectFromModel (RF selector) + RF,0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Integrated-SelectFromModel (RF selector) + LR,7.0,1.1545779354322477e-09,-6.08642765239752,-0.8607508532423209,8.266778017694894e-07
K-Neighbors (All),Integrated-SelectFromModel (RF selector) + KNN,468.0,0.10178731877313227,-1.636249794838756,-0.2314006651291163,1.0
K-Neighbors (All),Integrated-RFECV (L1-LR) + LR,23.0,1.1368683772161603e-12,-7.112830539255548,-1.005906141547673,9.185896487906575e-10
K-Neighbors (All),Integrated-RFECV (L1-LR) + KNN,463.0,0.0932040847757225,-1.6787330343705578,-0.2374087024810582,1.0
K-Neighbors (All),Integrated-RFECV (L1-LR) + Naive Bayes,629.5,0.9384417868357546,-0.07722847836504805,-0.01092175615052881,1.0
Decision Tree (All),Naive Bayes (All),25.0,1.6058265828178264e-12,7.065028823481318,0.999145958072411,1.294296225751168e-09
Decision Tree (All),Random Forest (MW - inCV),105.0,2.741093060444487e-07,-5.1404307713960895,-0.726966691334834,0.0001625468184843581
Decision Tree (All),Random Forest (Wilcoxon - inCV),127.0,7.798730550234723e-08,-5.371724246898922,-0.7596765283292856,4.8508104022459975e-05
Decision Tree (All),Random Forest (Kruskal - inCV),195.0,6.358623311442102e-06,-4.5140999250562155,-0.6383901335921872,0.003376428978375756
Decision Tree (All),Random Forest (Chi-square - inCV),95.0,5.802245794939154e-09,-5.822359829515583,-0.8234060235917239,3.928120403173807e-06
Decision Tree (All),Random Forest (KS - inCV),137.0,1.35512224384434e-06,-4.831494115820711,-0.6832764505119455,0.0007724196789912739
Decision Tree (All),Logistic Regression (MW - inCV),192.0,5.367254770405339e-06,-4.549895563309199,-0.6434524013013042,0.0028768485569372615
Decision Tree (All),Logistic Regression (Wilcoxon - inCV),203.0,2.7362618194116665e-05,-4.194374012635563,-0.5931740614334472,0.013489770769699516
Decision Tree (All),Logistic Regression (Kruskal - inCV),148.0,3.486415511844143e-07,-5.095054170786624,-0.7205494709352047,0.00020500123209643561
Decision Tree (All),Logistic Regression (Chi-square - inCV),234.0,9.81498701445565e-05,-3.8951206308364767,-0.5508532423208191,0.04524709013664055
Decision Tree (All),Logistic Regression (KS - inCV),233.0,4.6469730756726335e-05,-4.072707689379381,-0.5759678449901512,0.02230547076322864
Decision Tree (All),SVM (MW - inCV),235.0,5.121092026350027e-05,-4.0500306719066135,-0.5727608304237352,0.02447881988595313
Decision Tree (All),SVM (Wilcoxon - inCV),250.0,0.00010381446904439429,-3.881499257546521,-0.5489268892363388,0.04754702682233258
Decision Tree (All),SVM (Kruskal - inCV),276.0,0.0004835982297703459,-3.4896805651732,-0.4935153583617747,0.205529247652397
Decision Tree (All),SVM (Chi-square - inCV),261.0,0.00017022784864551,-3.7595373717728715,-0.5316788739409696,0.07626207619318848
Decision Tree (All),SVM (KS - inCV),406.0,0.03996443290510324,-2.054116340277235,-0.2904959187112253,1.0
Decision Tree (All),K-Neighbors (MW - inCV),378.0,0.011529687649083797,-2.526221152856233,-0.357261621592308,1.0
Decision Tree (All),K-Neighbors (Wilcoxon - inCV),369.0,0.00954418462558197,-2.591920419775946,-0.3665529010238908,1.0
Decision Tree (All),K-Neighbors (Kruskal - inCV),334.0,0.002896310240339872,-2.978533862620222,-0.4212282984505039,1.0
Decision Tree (All),K-Neighbors (Chi-square - inCV),286.0,0.0004885945525092694,-3.4869325577310346,-0.4931267314223534,0.20667549571142096
Decision Tree (All),K-Neighbors (KS - inCV),452.0,0.07395602411280144,-1.7868853294178901,-0.2527037467268296,1.0
Decision Tree (All),Decision Tree (MW - inCV),401.0,0.021794286702137455,-2.2939340589143287,-0.32441126573062057,1.0
Decision Tree (All),Decision Tree (Wilcoxon - inCV),337.0,0.0032054206503495664,-2.94731926853147,-0.4168138882200755,1.0
Decision Tree (All),Decision Tree (Kruskal - inCV),341.0,0.0036632546526647047,-2.90579149335146,-0.4109409739326004,1.0
Decision Tree (All),Decision Tree (Chi-square - inCV),385.0,0.014790561639585054,-2.4374670614280314,-0.3447098976109216,1.0
Decision Tree (All),Decision Tree (KS - inCV),419.0,0.03492057150523662,-2.10927824471273,-0.29829699004912585,1.0
Decision Tree (All),Naive Bayes (MW - inCV),243.0,7.500770700019643e-05,-3.959815446189701,-0.5600024708495944,0.03487858375509134
